date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-05-01,111.1485,120.2436,0.7693,95896.6953290404,559.4462871959233,1198.77293322177,100.0,100.0,103.05112735134699,94.58651898609864,57.81696083667915
2026-05-08,108.7887,117.6908,0.7408,93625.19666661797,544.2324179264073,1155.8949471574517,100.0,100.0,109.9707911176563,94.49969106683375,59.45137421191355
2026-05-15,108.632,117.5212,0.7138,91378.25383852696,553.8078216039296,1167.8607993921637,100.0,100.0,107.31054931728282,94.09906166393765,63.22740814392363
2026-05-22,106.3147,115.0142,0.6881,91825.37819694259,567.6170577687432,1151.5951539719454,100.0,100.0,104.78398955772293,92.98101909229224,62.62045130772514
2026-05-29,106.8427,115.5855,0.6637,94885.7455894371,585.9530669862579,1144.864977519292,100.0,100.0,105.22849583610794,93.47456117268155,61.06265646890367
2026-06-05,109.7593,118.7407,0.6405,100410.92109712656,580.8481670979052,1157.1154825548776,100.0,100.0,106.74839162343928,93.96961586019093,60.9937167771464
2026-06-12,109.1549,118.0869,0.6185,96465.15721140041,591.1986620631827,1211.3665032294732,100.0,100.0,99.19422180864935,94.38174953265454,66.51767604520738
2026-06-19,106.8768,115.6223,0.5976,93555.45990890077,606.4762928766688,1174.373202379375,100.0,100.0,99.82315943709243,94.62694644920212,70.70946182908132
2026-06-26,106.0285,114.7046,0.5777,95938.22928792538,613.8074574598858,1205.049900755706,100.0,100.0,91.68995599233345,95.71627357199282,71.47760319720794
2026-07-03,108.4546,117.3293,0.5588,87804.72746082598,631.7330293149872,1246.6638095564927,100.0,100.0,96.55903261218829,94.98176611532715,71.49600026107308
2026-07-10,108.4745,117.3508,0.5409,91752.04378082497,613.8777741225879,1225.257226919078,100.0,100.0,92.28139925042252,94.82056160974822,72.1736822022882
2026-07-17,106.2448,114.9387,0.5238,98087.53218863835,649.8623598959675,1250.5404551058891,100.0,100.0,89.0105562573028,95.02513217252498,73.10935345502416
2026-07-24,106.3699,115.074,0.5076,95106.76097190981,644.9786227546571,1340.3614254177364,100.0,100.0,91.69899806663231,94.43499505347755,73.11978434056066
2026-07-31,106.6426,115.369,0.4922,93952.46464367701,632.2722057557637,1292.2095277899448,100.0,100.0,92.38012009906356,94.20196988243256,69.7549300904892
2026-08-07,105.8771,114.5409,0.4776,94595.77576101363,635.4461530400032,1324.5992756546434,100.0,100.0,98.02784070194463,94.12118304971307,66.58387682354163
2026-08-14,106.9024,115.6501,0.4637,89643.46632569264,642.8774477193767,1360.580379110921,100.0,100.0,98.25257321623894,94.89590093698271,67.82201084004345
2026-08-21,106.8366,115.5788,0.4506,87213.37172709091,647.0549429536804,1328.851300785679,100.0,100.0,98.44486488632896,96.01822989274501,64.90795329252077
2026-08-28,105.205,113.8138,0.438,86802.86377095629,625.9436428385978,1323.4873702861507,100.0,100.0,98.36231488268167,94.86354061830508,63.4676758080226
2026-09-04,105.0407,113.636,0.4261,83170.75785659456,619.783488200058,1332.0197758279908,100.0,100.0,92.53069863087704,94.24317627851345,60.64360962787698
2026-09-11,106.4154,115.1232,0.4148,83573.92069000602,610.4246646619564,1402.0891428605253,100.0,100.0,100.27765847097125,93.89497545390296,62.357183863398056
2026-09-18,107.731,116.5464,0.4041,89396.57664914883,625.4643877242215,1420.8876816866812,100.0,100.0,97.76500040348456,94.48558074531128,64.55041439803898
2026-09-25,109.8748,118.8657,0.3939,84607.94915598643,638.5453280779668,1300.123515045467,100.0,100.0,92.2209722554994,94.22588258722378,66.66232673367975
2026-10-02,109.9287,118.9241,0.3842,89133.4692072101,677.2556499396968,1335.5279874209818,100.0,100.0,95.36058764261449,93.87409986711563,73.59661720236427
2026-10-09,108.8138,117.7179,0.375,95700.34158785534,668.3682980727963,1308.7283237850102,100.0,100.0,98.62528932917633,94.99526462815858,71.37093108802677
2026-10-16,111.086,120.1759,0.3662,97921.2073220614,686.9809171917763,1222.7690392472869,100.0,100.0,98.23755570595496,94.38416580835117,72.67471945226363
2026-10-23,110.9171,119.9933,0.3579,100861.68024433438,681.9138020238604,1200.072168086767,100.0,100.0,107.24985196638033,94.00356899820616,77.63622229626048
2026-10-30,111.2081,120.3081,0.35,98968.85094636588,669.8030203299169,1194.5687293374579,100.0,100.0,103.5671125618502,93.53753535685259,77.70854800706678
2026-11-06,107.6816,116.493,0.3425,98543.2902632443,669.0903081984354,1222.2283542618445,100.0,100.0,99.66236388635399,95.1153615675347,68.00249761448448
2026-11-13,106.5787,115.2998,0.3354,94260.25814379822,659.7368569632697,1197.0835608671098,100.0,100.0,106.69895665254775,95.34990761585554,68.00064077686648
2026-11-20,105.7395,114.392,0.3286,95538.79433954,666.6940318413403,1157.0796495990592,100.0,100.0,108.03021576787474,94.91307392100387,67.09521193689095
2026-11-27,106.0264,114.7024,0.3222,90189.74012968178,656.8084450208306,1145.9255555025384,100.0,100.0,115.15468099213284,95.24234140707202,71.31140777385659
2026-12-04,103.9471,112.453,0.3161,90292.4500470854,680.0867557141619,1077.2281620178298,100.0,100.0,125.9513719979451,93.66129801223319,69.54280571839634
2026-12-11,104.3956,112.9381,0.3103,91309.62432432211,685.4046123864581,1078.7985825167493,100.0,100.0,116.26714246578852,94.316730082273,72.96178431269756
2026-12-18,104.9949,113.5864,0.3048,95326.67460154872,699.8048055745019,1068.2037668826597,100.0,100.0,125.62297061076576,94.7847623310126,73.40198039293931
2026-12-25,108.7371,117.6349,0.2995,102131.49721733703,695.9339456677318,1080.7646868112756,100.0,100.0,118.64738143204929,94.43722121682067,81.03736479089888
2027-01-01,113.5989,122.8945,0.2946,109954.39115619114,695.2822806606463,1115.73041520736,100.0,100.0,126.51915770111759,94.2224576220093,80.05621439813598
2027-01-08,115.7604,125.2329,0.2898,117141.66205638029,673.1466819218335,1155.8867526041397,100.0,100.0,127.6047956915711,95.52890488950268,73.7079128442524
2027-01-15,116.63,126.1736,0.2853,109059.31211680599,659.4044852081392,1164.195934902545,100.0,100.0,120.14630968428649,94.95076798212332,82.11564221350277
2027-01-22,114.6555,124.0376,0.2811,116505.28637798468,661.6639027895003,1147.9852513512114,100.0,100.0,115.01210110398038,94.17783898115546,84.02908321672149
2027-01-29,117.2534,126.8481,0.277,119131.29557575763,668.587215324978,1072.8817997473418,100.0,100.0,115.82627658403614,95.16276302723232,84.04237587011218
2027-02-05,117.4386,127.0484,0.2732,115404.43779380231,665.8139952454468,1066.2381038135047,100.0,100.0,113.84934417545414,94.9910385956332,89.81786350341041
2027-02-12,114.651,124.0327,0.2695,117190.14825671821,662.2270206206559,1063.093981274574,100.0,100.0,107.40475268327306,93.65714355159564,93.37726830628861
2027-02-19,112.5578,121.7682,0.266,116211.8831350444,656.2149773873649,1057.4797871028582,100.0,100.0,104.5010300944174,94.05415454414448,97.6591791120791
2027-02-26,111.9701,121.1325,0.2627,116023.10908575541,640.8221008982333,1105.8489191594606,100.0,100.0,97.04212129730826,94.66747508677777,91.77086572538411
2027-03-05,113.2207,122.4853,0.2596,124071.40735993003,617.7363771944575,1051.7223852952368,100.0,100.0,97.00726604320664,93.69856099071048,89.0965631682764
2027-03-12,112.5343,121.7428,0.2566,122006.80902162509,621.324458616808,1022.552298078873,100.0,100.0,90.60056453090567,93.23814952572322,87.30999372375948
2027-03-19,112.8741,122.1104,0.2538,107611.76752466855,611.5700736962353,1043.0330577236568,100.0,100.0,91.53047177581368,93.39708791206189,91.93053643789172
2027-03-26,108.2697,117.1293,0.2511,98705.59785222176,605.1709223873748,1061.8332057352238,100.0,100.0,96.92026792056139,94.7838713159939,93.97035853779472
2027-04-02,105.7944,114.4514,0.2485,94049.96373940968,607.7668440159339,1022.6461333348716,100.0,100.0,90.41142546944572,95.32503536550479,95.40947861407619
2027-04-09,105.9932,114.6665,0.2461,97838.12847298331,623.4788031989763,1062.7457586500238,100.0,100.0,88.21463190752755,94.74496315289956,98.69746098252764
2027-04-16,104.7091,113.2772,0.2438,96147.32547266237,612.3341934118491,1094.3300275579913,100.0,100.0,87.81893598021568,94.60725318823201,99.54884103195002
2027-04-23,104.8675,113.4486,0.2416,92012.90259542668,606.4662150206802,1079.974623970977,100.0,100.0,88.50145218600511,95.21279725209796,93.89803857892939
2027-04-30,108.2593,117.1179,0.2395,101627.88253344907,595.143503380149,1074.7132294745593,100.0,100.0,79.93234398410537,95.29059524886205,101.58386292238605
2027-05-07,110.1207,119.1317,0.2376,106119.14454394797,602.7907535448422,1079.4777796084147,100.0,100.0,75.99508321094407,95.24199840426368,105.02993070647761
2027-05-14,112.2466,121.4315,0.2357,111464.6879392799,614.7398875218904,1020.7661783152531,100.0,100.0,75.83986612259272,96.59478931293745,97.31227672035936
2027-05-21,112.2405,121.4249,0.2339,104491.58850905801,608.1244306254189,1047.3486052257188,100.0,100.0,72.91859528538093,96.6749931505238,106.28941961227363
2027-05-28,113.5715,122.8649,0.2322,114509.28500971173,607.496614241383,1068.9320770599081,100.0,100.0,76.60456778971303,97.15066239381436,106.27663555454659
2027-06-04,113.8012,123.1134,0.2306,109364.23913456703,569.8321723080146,1046.6098406452732,100.0,100.0,75.2726464774868,96.89917885146448,100.81608333607149
2027-06-11,114.5702,123.9453,0.2291,106068.47855126282,573.8508776017583,1015.6407226514273,100.0,100.0,74.44933735401581,98.31587919698137,98.60985732304891
2027-06-18,114.6247,124.0042,0.2276,103171.24792478124,566.8655260258671,988.3515052282225,100.0,100.0,80.73255008286999,98.37451212788564,88.94977055214555
2027-06-25,110.3931,119.4264,0.2262,100302.39042487746,554.2133317208742,1046.9539632594588,100.0,100.0,80.74278563602545,98.14392095022494,90.03534028265261
2027-07-02,106.4771,115.19,0.2249,93456.14107493983,569.8147923513594,1026.0057134381748,100.0,100.0,80.5864278933652,99.25641544096551,84.99844304543802
2027-07-09,105.6576,114.3034,0.2237,92883.56971229898,575.3751382041398,984.4307125496342,100.0,100.0,83.23654157890132,99.4535363456494,84.22295660170998
2027-07-16,105.4643,114.0943,0.2225,88943.43706293368,583.6636584722136,962.5405629922316,100.0,100.0,78.89298594939393,99.80693209954227,85.93288164667592
2027-07-23,104.9047,113.4889,0.2214,88222.07644570062,586.6019600337765,959.4628312037369,100.0,100.0,69.17185087495717,99.8035733668138,87.05279170770622
2027-07-30,104.4939,113.0445,0.2203,89465.06516559648,594.0639078739302,908.1946023939124,100.0,100.0,74.70137388615413,98.41222026195292,88.35598468010743
2027-08-06,104.1125,112.6319,0.2193,86721.8198268361,582.8434863761912,946.3375901429521,100.0,100.0,68.51645725903477,99.09730481781921,85.88888677814336
2027-08-13,103.9966,112.5065,0.2183,92304.2461982848,600.796860649698,949.8754591867361,100.0,100.0,70.67534492744655,99.54003172386408,87.94445336288476
2027-08-20,103.4899,111.9584,0.2174,88258.2453642696,612.048739531132,954.887825959868,100.0,100.0,69.67052323921001,98.77083998012172,95.57917820072771
2027-08-27,104.6194,113.1803,0.2165,84170.13853577177,610.718733672516,901.3686245493562,100.0,100.0,73.03020972399791,97.2804827732176,91.61649825367557
2027-09-03,104.95,113.5379,0.2157,75328.22696306073,631.8258469813867,870.1766659453486,100.0,100.0,73.35823165402125,96.7396859715255,92.13586238448471
2027-09-10,104.1929,112.7188,0.2149,78739.93781675739,610.7475233545734,880.1003746379016,100.0,100.0,76.7090632406209,96.88914195609465,96.88273061686286
2027-09-17,104.1639,112.6875,0.2142,81583.33450411785,595.7101976494562,864.488431617429,100.0,100.0,77.79998253424937,96.5140865678009,95.69930906435448
2027-09-24,103.5768,112.0523,0.2135,81540.40878107028,596.7145397212072,872.9854962009323,100.0,100.0,75.24158942348832,96.7879350550387,94.66672993902951
