date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-05-01,115.5946,165.1372,0.6461,110964.39775260263,567.2959248645028,1166.950611490925,100.0,100.0,106.9989213546402,94.73807800125644,66.34902344245513
2026-05-08,119.0238,170.0361,0.6238,124580.62738741378,583.7864242203514,1231.2756858624637,100.0,100.0,106.67191993470773,93.80076448382313,64.88693497812787
2026-05-15,120.1183,171.5997,0.6026,129322.2185786419,600.3545879418499,1237.1998974362757,100.0,100.0,98.7972511253735,93.82211749377875,64.65926979233777
2026-05-22,118.6479,169.4991,0.5825,118647.1776161189,612.6015720987942,1273.211994955516,100.0,100.0,101.44529239632341,94.75921672897394,64.9222911113361
2026-05-29,118.122,168.7478,0.5633,125124.4904502953,608.0969341620615,1278.6921970531255,100.0,100.0,101.34765661986643,95.78979657454775,64.44959398753215
2026-06-05,117.3074,167.5842,0.5452,122865.59947350874,629.0559639831639,1328.3868188078534,100.0,100.0,104.28008569395244,95.73477612602014,66.61096836913605
2026-06-12,114.8464,164.0683,0.5279,123488.86895480346,618.8888207620939,1250.009933320873,100.0,100.0,100.69933809845955,96.80672141982456,63.93201372888932
2026-06-19,113.9821,162.8336,0.5115,122205.96055216667,638.1932591322507,1223.1256296338113,100.0,100.0,102.6256628882837,96.01462489302084,65.11566607520176
2026-06-26,114.1684,163.0997,0.4959,120714.52867493457,634.5463184297053,1199.9137433595838,100.0,100.0,100.30273499148636,95.90626890145344,64.70192889122367
2026-07-03,114.5557,163.653,0.4811,121890.7067325497,639.5045435742293,1209.1475693690206,100.0,100.0,97.30523904739105,95.50746206375699,69.00120029050875
2026-07-10,114.0229,162.8918,0.4671,133678.83551770562,644.6532995492089,1212.586391319253,100.0,100.0,108.67884849161508,95.45849984010499,72.44034861267352
2026-07-17,113.9006,162.7171,0.4537,132282.48903840978,666.6257024711317,1204.2512323670617,100.0,100.0,110.7707119886104,94.57702916191643,75.402841410165
2026-07-24,113.1213,161.6038,0.441,133872.06707710112,685.6483626221817,1209.6681996002667,100.0,100.0,107.46392010800713,94.52533704140002,74.37002701384894
