date,predicted_index,real_price,regime_probability,simn,mn_ore,chn_electricity,met_coal,dry_bulk_freight,steel_etf,usd_inr,pick
2026-05-01,249.6865,217.1461,0.69,100.06620038092574,565.4988448921001,1194.3814297012696,100.06620038092574,100.06620038092574,107.37249471461534,94.88190565277948,63.40124555339869
2026-05-08,245.6155,213.6056,0.7662,100.12913133517503,568.4357689917191,1199.9594388718335,100.12913133517503,100.12913133517503,111.86236060888588,95.33022016213648,61.10706421826879
2026-05-15,245.674,213.6566,0.813,100.18895239938499,551.1539679852627,1201.0225353136839,100.18895239938499,100.18895239938499,116.73911727687262,95.86837700119374,62.3295246929367
2026-05-22,244.6016,212.7239,0.8566,100.24581551371712,553.6078246522327,1215.8263864667913,100.24581551371712,100.24581551371712,115.80945132811583,95.45833887419951,63.28685495317067
2026-05-29,244.4837,212.6214,0.9101,100.29986536506141,574.9440308620864,1189.7598299168662,100.29986536506141,100.29986536506141,116.43020419822776,95.04422720934467,65.4857140826935
2026-06-05,242.8056,211.1619,0.9058,100.35123971658483,577.9439560101529,1236.9369608620775,100.35123971658483,100.35123971658483,123.84985303616057,94.15847632477252,65.47839483587138
2026-06-12,241.5053,210.0311,0.9481,100.4000697239744,567.595894566355,1277.5818603768528,100.4000697239744,100.4000697239744,127.157854474212,93.49664612893034,70.0603121150881
2026-06-19,241.5053,210.0311,0.9131,100.44648023873906,581.9541193830759,1267.5937883777722,100.44648023873906,100.44648023873906,135.65586474730847,94.42093616304255,69.95620680404173
2026-06-26,241.7113,210.2102,0.9445,100.49059009894434,578.6147167940355,1233.76986671334,100.49059009894434,100.49059009894434,125.97704157201737,96.1043022689679,69.767653784023
2026-07-03,242.6728,211.0465,0.8311,100.53251240776052,576.9490139707483,1267.1990830314726,100.53251240776052,100.53251240776052,118.45059378331267,96.45290451367563,66.00685949750559
2026-07-10,242.759,211.1215,0.8286,100.57235480020995,594.7203205747226,1375.6339090689594,100.57235480020995,100.57235480020995,124.3804959199109,96.10732532144266,61.313878722463954
2026-07-17,242.7867,211.1455,0.767,100.61021969850029,579.1858558811062,1424.1397732075595,100.61021969850029,100.61021969850029,130.10736576185246,97.01952318254422,60.83915553355767
2026-07-24,242.7867,211.1455,0.7463,100.64620455633067,591.2838339644086,1424.2752544985676,100.64620455633067,100.64620455633067,139.67018999478745,97.48436730495155,55.10652733152487
2026-07-31,242.7867,211.1455,0.7591,100.68040209255582,576.8060390758983,1423.3284834079313,100.68040209255582,100.68040209255582,135.6580201935878,97.19122908984735,56.43106852941601
2026-08-07,242.7005,211.0705,0.6951,100.71290051458945,574.8092175496035,1411.429662697154,100.71290051458945,100.71290051458945,140.5016930183491,96.99754431968334,54.786715737492216
2026-08-14,242.7005,211.0705,0.6622,100.74378373192378,584.8770367041773,1375.5415310114458,100.74378373192378,100.74378373192378,140.40509949732103,97.67803767589608,54.65747077431643
2026-08-21,242.7005,211.0705,0.6411,100.77313156013591,585.333774336404,1344.155413389796,100.77313156013591,100.77313156013591,140.7138379286062,96.58744116027488,58.78431082453259
2026-08-28,242.7005,211.0705,0.6803,100.80101991574502,582.4953431715492,1319.4948611382686,100.80101991574502,100.80101991574502,137.11935604435018,97.56506840856169,59.31731508063339
2026-09-04,242.7005,211.0705,0.7713,100.82752100227707,578.9411973711449,1317.2391509744696,100.82752100227707,100.82752100227707,141.7321642892384,98.52400035293033,59.699406845437665
2026-09-11,242.7005,211.0705,0.7102,100.85270348788501,601.5674522041428,1331.483687723714,100.85270348788501,100.85270348788501,145.68953451093967,99.14007727043298,56.92218568151188
2026-09-18,242.7867,211.1455,0.5958,100.8766326748642,593.6325700283699,1287.7552947207946,100.8766326748642,100.8766326748642,149.11016295658757,98.73433354174492,60.271118957082244
2026-09-25,242.6222,211.0025,0.5168,100.89937066139362,592.8361354355868,1291.6547372058635,100.89937066139362,100.89937066139362,153.01711842201067,98.14684034601537,61.64887447550388
2026-10-02,242.3745,210.7871,0.4996,100.92097649582384,582.400824612383,1279.2652189799778,100.92097649582384,100.92097649582384,157.17353367379675,98.0227966045864,62.94999227530216
